ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM5.TXT,0.59365,0.64444,0.61801,9
ROUGE-L,TASK1,ENGLISHSYSSUM1.TXT,0.59365,0.64444,0.61801,9
ROUGE-L,TASK1,ENGLISHSYSSUM6.TXT,0.56190,0.18182,0.27474,9
ROUGE-L,TASK1,ENGLISHSYSSUM3.TXT,0.46825,0.71429,0.56568,9
ROUGE-L,TASK1,ENGLISHSYSSUM4.TXT,0.56190,0.18182,0.27474,9
ROUGE-L,TASK1,ENGLISHSYSSUM8.TXT,0.56190,0.18182,0.27474,9
ROUGE-L,TASK1,ENGLISHSYSSUM2.TXT,0.56190,0.18182,0.27474,9
ROUGE-L,TASK1,ENGLISHSYSSUM7.TXT,0.46825,0.71429,0.56568,9
ROUGE-L,TASK1,ENGLISHSYSSUM9.TXT,0.56190,0.18182,0.27474,9
ROUGE-1,TASK1,ENGLISHSYSSUM5.TXT,0.60209,0.70370,0.64894,9
ROUGE-1,TASK1,ENGLISHSYSSUM1.TXT,0.60209,0.70370,0.64894,9
ROUGE-1,TASK1,ENGLISHSYSSUM6.TXT,0.64957,0.19565,0.30073,9
ROUGE-1,TASK1,ENGLISHSYSSUM3.TXT,0.43305,0.75000,0.54907,9
ROUGE-1,TASK1,ENGLISHSYSSUM4.TXT,0.64957,0.19565,0.30073,9
ROUGE-1,TASK1,ENGLISHSYSSUM8.TXT,0.64957,0.19565,0.30073,9
ROUGE-1,TASK1,ENGLISHSYSSUM2.TXT,0.64957,0.19565,0.30073,9
ROUGE-1,TASK1,ENGLISHSYSSUM7.TXT,0.43305,0.75000,0.54907,9
ROUGE-1,TASK1,ENGLISHSYSSUM9.TXT,0.64957,0.19565,0.30073,9
ROUGE-2,TASK1,ENGLISHSYSSUM5.TXT,0.10034,0.15278,0.12112,9
ROUGE-2,TASK1,ENGLISHSYSSUM1.TXT,0.10034,0.15278,0.12112,9
ROUGE-2,TASK1,ENGLISHSYSSUM6.TXT,0.00000,0.00000,0.00000,9
ROUGE-2,TASK1,ENGLISHSYSSUM3.TXT,0.08552,0.20000,0.11981,9
ROUGE-2,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,9
ROUGE-2,TASK1,ENGLISHSYSSUM8.TXT,0.00000,0.00000,0.00000,9
ROUGE-2,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,9
ROUGE-2,TASK1,ENGLISHSYSSUM7.TXT,0.08552,0.20000,0.11981,9
ROUGE-2,TASK1,ENGLISHSYSSUM9.TXT,0.00000,0.00000,0.00000,9
ROUGE-SU4,TASK1,ENGLISHSYSSUM5.TXT,0.24938,0.46581,0.32485,9
ROUGE-SU4,TASK1,ENGLISHSYSSUM1.TXT,0.24938,0.46581,0.32485,9
ROUGE-SU4,TASK1,ENGLISHSYSSUM6.TXT,0.29383,0.07000,0.11306,9
ROUGE-SU4,TASK1,ENGLISHSYSSUM3.TXT,0.16790,0.50000,0.25139,9
ROUGE-SU4,TASK1,ENGLISHSYSSUM4.TXT,0.29383,0.07000,0.11306,9
ROUGE-SU4,TASK1,ENGLISHSYSSUM8.TXT,0.29383,0.07000,0.11306,9
ROUGE-SU4,TASK1,ENGLISHSYSSUM2.TXT,0.29383,0.07000,0.11306,9
ROUGE-SU4,TASK1,ENGLISHSYSSUM7.TXT,0.16790,0.50000,0.25139,9
ROUGE-SU4,TASK1,ENGLISHSYSSUM9.TXT,0.29383,0.07000,0.11306,9
ROUGE-L,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-L,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-L,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-1,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-1,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-1,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-2,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-2,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-2,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-SU4,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-SU4,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-SU4,C1,TASK1,NaN,NaN,0.00000,0
